judge_id,dim_a,dim_b,label_a,label_b,pearson_r,halo_flag
Dr_C,user_ideational_fluency,user_cognitive_flexibility,Ideational fluency,Cognitive flexibility,0.8037619371635901,False
Dr_C,user_ideational_fluency,user_problem_frame_development,Ideational fluency,Problem-frame development,0.4967356013244641,False
Dr_C,user_ideational_fluency,user_reflective_engagement,Ideational fluency,Reflective engagement,0.2174419962528063,False
Dr_C,user_ideational_fluency,user_constraint_integration,Ideational fluency,Constraint integration,0.43323507702220854,False
Dr_C,user_ideational_fluency,user_epistemic_stance_regulation,Ideational fluency,Epistemic stance regulation,0.3806224250391165,False
Dr_C,user_ideational_fluency,user_authorship_direction_setting,Ideational fluency,Authorship & direction-setting,0.605318048420901,False
Dr_C,user_ideational_fluency,user_implementation_relevant_progress,Ideational fluency,Implementation-relevant progress,0.37088409862937644,False
Dr_C,user_cognitive_flexibility,user_problem_frame_development,Cognitive flexibility,Problem-frame development,0.6272384416383175,False
Dr_C,user_cognitive_flexibility,user_reflective_engagement,Cognitive flexibility,Reflective engagement,0.2954159415337194,False
Dr_C,user_cognitive_flexibility,user_constraint_integration,Cognitive flexibility,Constraint integration,0.38816965492145555,False
Dr_C,user_cognitive_flexibility,user_epistemic_stance_regulation,Cognitive flexibility,Epistemic stance regulation,0.26724428045547877,False
Dr_C,user_cognitive_flexibility,user_authorship_direction_setting,Cognitive flexibility,Authorship & direction-setting,0.60398898132057,False
Dr_C,user_cognitive_flexibility,user_implementation_relevant_progress,Cognitive flexibility,Implementation-relevant progress,0.21112455089768267,False
Dr_C,user_problem_frame_development,user_reflective_engagement,Problem-frame development,Reflective engagement,0.5481962918779588,False
Dr_C,user_problem_frame_development,user_constraint_integration,Problem-frame development,Constraint integration,0.585797359507669,False
Dr_C,user_problem_frame_development,user_epistemic_stance_regulation,Problem-frame development,Epistemic stance regulation,0.42659501176563175,False
Dr_C,user_problem_frame_development,user_authorship_direction_setting,Problem-frame development,Authorship & direction-setting,0.5596822739859975,False
Dr_C,user_problem_frame_development,user_implementation_relevant_progress,Problem-frame development,Implementation-relevant progress,0.2989411943023321,False
Dr_C,user_reflective_engagement,user_constraint_integration,Reflective engagement,Constraint integration,0.3076178265250954,False
Dr_C,user_reflective_engagement,user_epistemic_stance_regulation,Reflective engagement,Epistemic stance regulation,0.700301472327158,False
Dr_C,user_reflective_engagement,user_authorship_direction_setting,Reflective engagement,Authorship & direction-setting,0.33023980025373423,False
Dr_C,user_reflective_engagement,user_implementation_relevant_progress,Reflective engagement,Implementation-relevant progress,0.36752093353463333,False
Dr_C,user_constraint_integration,user_epistemic_stance_regulation,Constraint integration,Epistemic stance regulation,0.4283998862178212,False
Dr_C,user_constraint_integration,user_authorship_direction_setting,Constraint integration,Authorship & direction-setting,0.4526689122876679,False
Dr_C,user_constraint_integration,user_implementation_relevant_progress,Constraint integration,Implementation-relevant progress,0.48032550745784497,False
Dr_C,user_epistemic_stance_regulation,user_authorship_direction_setting,Epistemic stance regulation,Authorship & direction-setting,0.4707086721753339,False
Dr_C,user_epistemic_stance_regulation,user_implementation_relevant_progress,Epistemic stance regulation,Implementation-relevant progress,0.42343691144029816,False
Dr_C,user_authorship_direction_setting,user_implementation_relevant_progress,Authorship & direction-setting,Implementation-relevant progress,0.35572167833909607,False
Dr_I,user_ideational_fluency,user_cognitive_flexibility,Ideational fluency,Cognitive flexibility,0.8032835609229456,False
Dr_I,user_ideational_fluency,user_problem_frame_development,Ideational fluency,Problem-frame development,0.3930981943761485,False
Dr_I,user_ideational_fluency,user_reflective_engagement,Ideational fluency,Reflective engagement,0.12947969727266231,False
Dr_I,user_ideational_fluency,user_constraint_integration,Ideational fluency,Constraint integration,0.31679358554040354,False
Dr_I,user_ideational_fluency,user_epistemic_stance_regulation,Ideational fluency,Epistemic stance regulation,0.3019038201848496,False
Dr_I,user_ideational_fluency,user_authorship_direction_setting,Ideational fluency,Authorship & direction-setting,0.629344924009485,False
Dr_I,user_ideational_fluency,user_implementation_relevant_progress,Ideational fluency,Implementation-relevant progress,0.4579335762039364,False
Dr_I,user_cognitive_flexibility,user_problem_frame_development,Cognitive flexibility,Problem-frame development,0.6131947091387295,False
Dr_I,user_cognitive_flexibility,user_reflective_engagement,Cognitive flexibility,Reflective engagement,0.3005138832786028,False
Dr_I,user_cognitive_flexibility,user_constraint_integration,Cognitive flexibility,Constraint integration,0.40529642401814087,False
Dr_I,user_cognitive_flexibility,user_epistemic_stance_regulation,Cognitive flexibility,Epistemic stance regulation,0.3144942481815217,False
Dr_I,user_cognitive_flexibility,user_authorship_direction_setting,Cognitive flexibility,Authorship & direction-setting,0.6707526438791382,False
Dr_I,user_cognitive_flexibility,user_implementation_relevant_progress,Cognitive flexibility,Implementation-relevant progress,0.3227055876403776,False
Dr_I,user_problem_frame_development,user_reflective_engagement,Problem-frame development,Reflective engagement,0.5604660425844135,False
Dr_I,user_problem_frame_development,user_constraint_integration,Problem-frame development,Constraint integration,0.5937176962616126,False
