conversation_id,group,challenge_id,n_user,fluency,flexibility,ideas_per_user_turn,msgs_to_Taylor,msgs_to_Alex,alex_share,div_share_first_half,div_share_second_half,switches,orig_idea_same,orig_resid_same,within_idea_diversity
483,treatment,ta_south_community,16.0,9.0,1.0,0.5625,10.0,6.0,0.375,0.625,0.625,12.0,0.20544938743114471,1.0,0.3299197306235631
523,treatment,joint_rikma_jewish_arab,11.0,6.0,1.0,0.5454545454545454,9.0,2.0,0.18181818181818182,0.8,0.833,4.0,0.20473910868167877,1.0956348281664152,0.2550131916999817
547,treatment,natal_trauma_language,14.0,7.0,1.0,0.5,11.0,3.0,0.21428571428571427,0.857,0.714,2.0,0.24555175999800363,1.0691586174070835,0.29987633512133643
549,control,natal_trauma_language,10.0,5.0,1.0,0.5,1.0,9.0,0.9,0.0,0.2,2.0,0.22835299372673035,0.9990907376632094,0.2766172230243683
575,control,polyron_sleep,10.0,4.0,1.0,0.4,5.0,5.0,0.5,0.4,0.6,6.0,0.2522512674331665,1.0432771663181484,0.2696302533149719
593,treatment,joint_rikma_jewish_arab,23.0,14.0,2.0,0.6086956521739131,23.0,0.0,0.0,1.0,1.0,0.0,0.20788758993148804,1.0785565133361767,0.3217679059112465
595,treatment,joint_rikma_jewish_arab,19.0,10.0,1.0,0.5263157894736842,8.0,11.0,0.5789473684210527,0.556,0.3,3.0,0.17954732974370322,1.0755569719088574,0.3204999566078186
605,control,ichilov_rehab_future,10.0,8.0,1.0,0.8,10.0,0.0,0.0,1.0,1.0,0.0,0.1567411720752716,1.048257983289659,0.35674191266298294
661,treatment,ta_east_reut_yad_eliyahu,19.0,7.0,1.0,0.3684210526315789,19.0,0.0,0.0,1.0,1.0,0.0,0.1577023814121882,1.0,0.3512063565708342
667,treatment,ichilov_rehab_future,18.0,14.0,1.0,0.7777777777777778,18.0,0.0,0.0,1.0,1.0,0.0,0.17788307865460715,1.0687802322984983,0.36270686296316296
679,treatment,ichilov_rehab_future,21.0,9.0,1.0,0.42857142857142855,13.0,8.0,0.38095238095238093,0.6,0.636,8.0,0.14704038202762604,1.0740981348790228,0.35431710216734147
695,control,ichilov_rehab_future,11.0,6.0,1.0,0.5454545454545454,2.0,9.0,0.8181818181818182,0.0,0.333,2.0,0.2055264711380005,1.0959827629849315,0.3572746594746908
719,treatment,ichilov_rehab_future,10.0,3.0,1.0,0.3,3.0,7.0,0.7,0.2,0.4,2.0,0.21155906716982523,1.0319717608702679,0.2749837636947632
731,treatment,natal_trauma_language,16.0,4.0,1.0,0.25,13.0,3.0,0.1875,1.0,0.625,1.0,0.18461246291796365,1.0294328553136438,0.3310631811618805
733,treatment,polyron_sleep,13.0,9.0,1.0,0.6923076923076923,4.0,9.0,0.6923076923076923,0.167,0.429,4.0,0.21521223584810892,1.011746320873499,0.31268005404207444
737,treatment,ichilov_rehab_future,15.0,6.0,1.0,0.4,5.0,10.0,0.6666666666666666,0.429,0.25,4.0,0.18099121749401093,1.0174782491909962,0.3045783042907715
751,control,ichilov_rehab_future,15.0,8.0,1.0,0.5333333333333333,6.0,9.0,0.6,0.143,0.625,3.0,0.16092351078987122,1.0560294133611023,0.3712473713925907
753,treatment,ichilov_rehab_future,16.0,9.0,1.0,0.5625,16.0,0.0,0.0,1.0,1.0,0.0,0.1793027619520823,1.0451704531442374,0.35180966638856465
