conversation_id,group,n_user,q1,q2,q3,q4
483,treatment,16,0.75,0.5,0.75,0.5
547,treatment,14,0.6666666666666666,1.0,1.0,0.5
549,control,10,0.0,0.0,0.5,0.0
575,control,10,0.5,0.3333333333333333,0.5,0.6666666666666666
595,treatment,19,0.75,0.4,0.0,0.6
593,treatment,23,1.0,1.0,1.0,1.0
605,control,10,1.0,1.0,1.0,1.0
523,treatment,11,1.0,0.6666666666666666,0.6666666666666666,1.0
661,treatment,19,1.0,1.0,1.0,1.0
731,treatment,16,1.0,1.0,1.0,0.25
667,treatment,18,1.0,1.0,1.0,1.0
719,treatment,10,0.5,0.0,0.0,0.6666666666666666
679,treatment,21,0.8,0.4,0.4,0.8333333333333334
695,control,11,0.0,0.0,0.6666666666666666,0.0
737,treatment,15,1.0,0.0,0.25,0.25
733,treatment,13,0.3333333333333333,0.0,0.0,0.75
751,control,15,0.3333333333333333,0.0,0.75,0.5
753,treatment,16,1.0,1.0,1.0,1.0
