conversation_id,user,persona_type,challenge,family,condition,sbert_distinctiveness,sbert_breadth,sbert_redundancy,fixation_index,anchor_sim_early,anchor_sim_late,drift_trajectory,anchor_mid,u_exp,u_con,u_cri,u_cer,u_com,u_ref,u_prop,a_exp,a_con,a_cri,a_cer,a_com,a_ref,a_prop,a_tone_constructive,a_tone_neutral,a_tone_none,u_qtype_clarify,u_qtype_criteria_setting,u_qtype_none,u_qtype_open_what_if
154,24,GPT,Bicycle,GPT,GPT,0.26544588804244995,0.773503303527832,0.7712945938110352,0.37393752,0.48526558,0.09138066,0.39388493,794,0.40137339057504645,0.28472054684562415,0.16512503500421663,1.648330840179233,0.16085719536405485,0.02528014708899663,0.5515111085316446,1.182586841812569,1.3961153162688065,0.013244550580260483,2.0689940434105405,0.20593272754336633,0.36992843416249616,1.1181318382303969,0.0,0.0,1.0,0.45454545454545453,0.0,0.45454545454545453,0.09090909090909091
155,25,GPT,Bicycle,GPT,GPT,0.3949275612831116,0.7474726438522339,0.5945756435394287,0.44142845,0.262263,0.43603218,-0.17376918,802,0.332316317944321,0.5628634291248703,0.011745627039711659,1.9494283651937696,0.23217738677766062,0.02715749403888827,0.976041264071898,0.9931957855752873,0.8129958112660509,0.0028909702367840573,1.8189717244477197,0.1264889756665201,0.3368918726625602,0.8631264715202798,0.0,0.0,1.0,0.14285714285714285,0.0,0.8571428571428571,0.0
157,27,GPT,Bicycle,GPT,GPT,0.30675405263900757,0.7474068403244019,0.7259733080863953,0.3634826,0.24541686,0.17224663,0.07317023,781,0.3874574856143934,0.6155063876004156,0.07142793515783341,1.8450343226700294,0.24915637183398057,0.033362929927496204,0.9941498343465078,0.8597855809919266,1.2899743050688406,0.04574419023836891,1.9949133090130071,0.2508224691260881,0.03563472123336795,1.115482470696821,0.0,0.0,1.0,0.125,0.0,0.75,0.125
158,28,GPT,Bicycle,GPT,GPT,0.3196241855621338,0.7570692896842957,0.6404905319213867,0.35969877,0.20596589,0.38108677,-0.17512088,812,0.5626219153806934,0.6838200137917688,0.015799524085284743,1.8524535807230877,0.1788605603057117,0.00819877689169803,0.8389420533205519,0.8489729442115499,1.0610036908666332,0.0446579163781302,1.8689419771968778,0.22326021023068665,0.21277402314394683,0.7278126167970249,0.0,0.0,1.0,0.14285714285714285,0.0,0.8571428571428571,0.0
159,29,GPT,Bicycle,GPT,GPT,0.3390740752220154,0.7393348813056946,0.8889479637145996,0.46799687,0.3476283,0.5035424,-0.15591413,842,0.3206228069251179,0.6075664769887718,0.09829793158425937,1.7935781723107407,0.22972184262568066,0.07005000463121985,0.7567190108572913,0.8569311586530026,0.698346428174411,0.06403820810135974,1.8635617068085846,0.25947261065679866,0.0502500842396036,0.6549449110207055,0.0,0.0,1.0,0.25,0.0,0.75,0.0
160,30,GPT,Bicycle,GPT,GPT,0.30206865072250366,0.7054805755615234,0.6702129244804382,0.4689302,0.30218983,0.5318323,-0.22964245,792,0.3356697554682401,0.5481659200075878,0.013320989529904775,2.0555664283769004,0.1998881461291137,0.020376180549376923,1.0788130878323843,0.9091935474757388,1.3812281344027952,0.0185610540013622,2.120252883909612,0.17042753298028576,0.48531329371336285,1.0179906698579153,0.0,0.0,1.0,0.125,0.0,0.875,0.0
161,31,GPT,Bicycle,GPT,GPT,0.36928796768188477,0.8042916059494019,0.6165438890457153,0.31117642,0.25695708,0.235804,0.021153077,754,0.22122909460113055,0.5855163655470356,0.08462646286950927,1.9481685553523558,0.2793471844372901,0.07410461920614392,0.6615432336924854,1.0411782152073659,1.4432899770592935,0.08452180199964274,1.9911819666909922,0.32593651673876517,0.23654997360471913,0.9021484656683287,0.0,0.0,1.0,0.1111111111111111,0.0,0.8888888888888888,0.0
162,32,GPT,Bicycle,GPT,GPT,0.3382502794265747,0.7734363079071045,0.5593152642250061,0.36743006,0.221522,0.353742,-0.13222,775,0.41009736698461197,0.6166810476771986,0.21523743791678765,1.885601828167076,0.11340961943835905,0.039387078860391875,0.9018086161863582,1.2060402860919233,1.4455588339986256,0.08235323579210861,1.9450511790175733,0.1465877881930715,0.25397265990661133,1.281766062376263,0.0,0.0,1.0,0.14285714285714285,0.0,0.8571428571428571,0.0
164,33,GPT,Bicycle,GPT,GPT,0.3623926639556885,0.7800621390342712,0.4687198996543884,0.37333974,0.007348283,0.28804588,-0.2806976,816,0.15698348567906326,0.5650466804405694,0.09962519265609045,1.895981342493151,0.162897847036439,0.01910351439013016,0.777593289270689,0.6668033218599316,1.2212507450092116,0.055379316788660635,1.8725743673468724,0.13116469677821957,0.14726324028539958,0.9276402987159903,0.0,0.0,1.0,0.4,0.0,0.6,0.0
166,33,Convergent,Library,Convergent,Persona,0.2944774031639099,0.6951949596405029,0.6761898994445801,0.4584218,0.041898817,0.49111694,-0.44921812,968,0.36924368780616434,0.7262513527454132,0.05516403495178827,1.9219230198090762,0.10495024385875876,0.043407232799446985,0.6819089831846303,0.6081340796244061,1.271291912938631,0.08964705523187685,1.8440481846640355,0.18082125792109255,0.11497524014791083,0.9408226604551929,0.0,0.0,1.0,0.4,0.0,0.6,0.0
167,29,Convergent,Library,Convergent,Persona,0.3263090252876282,0.7210472226142883,0.5907453298568726,0.42234376,0.29130512,0.29142943,-0.00012430549,942,0.4792704818473741,0.7557481524022436,0.04600991161253522,1.8709575778683611,0.23086876632696826,0.06373634428481147,1.0432457102542467,0.6838310775882596,1.6051835816582833,0.07059613758979107,2.011272695768449,0.05579149489131253,0.14062486797377988,0.9379158804843252,0.0,0.0,1.0,0.14285714285714285,0.0,0.8571428571428571,0.0
