conversation_id,transition_idx,turn_index_assistant,turn_index_user,participant_id,condition,family,turn_index_normalized,assistant_prev_episode_id,user_next_episode_id,a_exploration_opening,a_reframing_quality,a_agency_preservation,a_stance_integrity,a_timing_fit,u_coregulation_uptake,u_agency_preservation,u_implementation_grounding,u_evaluative_discipline
154,2,1,2,24,GPT,GPT,0.09523809523809523,154_e01,154_e01,,,,,,,,,
154,4,3,4,24,GPT,GPT,0.19047619047619047,154_e01,154_e01,,,,,,,,,
154,6,5,6,24,GPT,GPT,0.2857142857142857,154_e01,154_e02,,,,,,,,,
154,8,7,8,24,GPT,GPT,0.38095238095238093,154_e02,154_e02,,,,,,,,,
154,10,9,10,24,GPT,GPT,0.47619047619047616,154_e02,154_e03,,,,,,,,,
154,12,11,12,24,GPT,GPT,0.5714285714285714,154_e03,154_e03,,,,,,,,,
154,14,13,14,24,GPT,GPT,0.6666666666666666,154_e04,154_e04,,,,,,,,,
154,16,15,16,24,GPT,GPT,0.7619047619047619,154_e04,154_e05,,,,,,,,,
154,18,17,18,24,GPT,GPT,0.8571428571428571,154_e05,154_e05,,,,,,,,,
154,20,19,20,24,GPT,GPT,0.9523809523809523,154_e06,154_e06,2.0,1.0,3.0,3.5,3.5,3.0,3.0,1.0,0.5
155,2,1,2,25,GPT,GPT,0.15384615384615385,155_e01,155_e01,,,,,,,,,
155,4,3,4,25,GPT,GPT,0.3076923076923077,155_e02,155_e02,,,,,,,,,
155,6,5,6,25,GPT,GPT,0.46153846153846156,155_e02,155_e03,,,,,,3.0,4.0,2.0,1.0
155,8,7,8,25,GPT,GPT,0.6153846153846154,155_e03,155_e03,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0
155,10,9,10,25,GPT,GPT,0.7692307692307693,155_e04,155_e04,,,,,,,,,
155,12,11,12,25,GPT,GPT,0.9230769230769231,155_e04,155_e04,,,,,,,,,
157,2,1,2,27,GPT,GPT,0.13333333333333333,157_e01,157_e01,,,,,,,,,
157,4,3,4,27,GPT,GPT,0.26666666666666666,157_e02,157_e02,,,,,,,,,
157,6,5,6,27,GPT,GPT,0.4,157_e02,157_e03,,,,,,,,,
157,8,7,8,27,GPT,GPT,0.5333333333333333,157_e03,157_e03,,,,,,,,,
157,10,9,10,27,GPT,GPT,0.6666666666666666,157_e03,157_e04,,,,,,3.5,3.5,3.0,3.0
157,12,11,12,27,GPT,GPT,0.8,157_e04,157_e04,3.0,2.0,3.5,4.0,4.0,3.5,3.5,3.0,3.0
157,14,13,14,27,GPT,GPT,0.9333333333333333,157_e05,157_e05,,,,,,,,,
